DataSN,title,display_time,start_time,end_time,publisher,category,senior_type,status,source_url,updated_at
9650498,本市2026年參與式預算提案票選活動案,2026-06-01T09:00:00 - 2026-06-15T17:00:00,2026-06-01T09:00:00,2026-06-15T17:00:00,臺北市政府財政局秘書室,綜合資訊,exclude,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=E062C28CED497525,2026-06-05 11:14:00
9582796,2026年臺北市士林區參與式預算票選活動開始囉！,2026-06-01T09:00:00 - 2026-06-15T17:00:00,2026-06-01T09:00:00,2026-06-15T17:00:00,臺北市士林區公所,,exclude,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=761A01A1FF340A42,2026-06-05 11:14:00
9582778,稻香分館「森：認識樹木大作戰」系列活動,6月1日（週一）至8月31日（週一），開館時間,2026-06-01T14:40:00,2026-08-31T14:40:00,臺北市立圖書館,教育、文化、主題活動,exclude,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=164B9CCDBF9AAA59,2026-06-05 11:14:00
9583310,大安區公所辦理115年單身聯誼活動「雙倍祝福 雙倍幸福」，歡迎踴躍報名,2026-06-02T11:20:00 - 2026-07-10T17:00:00,2026-06-02T11:20:00,2026-07-10T17:00:00,臺北市政府民政局,,exclude,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=1CD132F8584DEEC5,2026-06-05 11:14:00
9580759,王貫英先生紀念圖書館「這是郵票嗎？──意想不到的郵票與故事+有趣的手作」講座活動歡迎參加,2026-06-02T17:30:00 - 2026-07-05T17:30:00,2026-06-02T17:30:00,2026-07-05T17:30:00,臺北市立圖書館,教育、文化、講座,exclude,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=C61947D32AC9C6A4,2026-06-05 11:14:00
9581874,親子美育數位圖書館電影欣賞：「星期六電影同樂會」，一起放鬆享受好電影!,6月每週週六下午2時至4時,2026-06-03T10:04:00,2026-06-27T10:04:00,臺北市立圖書館,文化、影片欣賞,exclude,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=5886786C28E995A9,2026-06-05 11:14:00
9581882,三民週日影展－Sunday Movies,每週日下午2時至4時三、播映日期及影片名稱：6月7日 總統遊戲 Big game (輔導級｜90分｜英語發音)6月14日 女僕 The maid (輔導級｜96分｜英語發音)6月21日 極限快遞 Tracers (輔導級｜93分｜英語發音)6月28日 王者之聲 宣戰時刻 (保護級｜118分｜英語發音)四、交通路線： https://reurl.cc/aLRjR4五、請依影片分級制度入場觀賞：普遍級：一般觀眾皆可觀賞保護級：未滿6歲之兒童不宜觀賞輔12級：未滿12歲之兒童不宜觀賞輔15級：未滿15歲之人不得觀賞限制級：未滿18歲之人不得觀賞,2026-06-03T10:07:00,2026-06-24T10:07:00,臺北市立圖書館,文化、影片欣賞,exclude,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=57F3BAA351F7BBEF,2026-06-05 11:14:00
9651564,總館留學資料中心 6月27日「走進紐西蘭留學現場：你需要知道的留學生活與畢業後發展」線上講座，歡迎參加！,6月27日（週六）上午10時至11時30分會議連結：Google Meet 線上視訊會議室講師：Esther Su紐西蘭奧克蘭大學公共政策學碩士前大學招生官現任職於紐西蘭政府機構,2026-06-03T14:29:00,2026-06-27T14:29:00,臺北市立圖書館,教育、文化、留學活動,exclude,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=555597BD4281F852,2026-06-05 11:14:00
9581886,大同分館「警察英雄守護你，識詐防騙安全行」主題書展,2026-06-05T10:11:00 - 2026-06-30T10:11:00,2026-06-05T10:11:00,2026-06-30T10:11:00,臺北市立圖書館,教育、文化、展覽,exclude,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=F31E35CC68C5AFAF,2026-06-05 11:14:00
9651722,總館留學資料中心7月11日「留學德國講座—學制、獎學金、語言程度及檢定考試全攻略」講座，歡迎報名參加!,7月11日（週六）下午2時至4時,2026-06-05T16:48:00,2026-07-11T16:48:00,臺北市立圖書館,教育、文化、留學活動,exclude,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=E2A4E4638E6313FB,2026-06-05 11:14:00
9651643,內湖分處-稅務挑戰拿好禮-租稅政風宣導活動,115年6月6日(星期六)09:30至12:30⇲,2026-06-06T09:30:00,2026-06-06T12:30:00,臺北市稅捐稽徵處,,exclude,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=554E0325F44FE20E,2026-06-05 11:14:00
9651985,內湖就服站將於115年06月09日(二)下午14:00-16:00時舉辦 【全家便利商店股份有限公司】現場徵才活動,115年06月09日(二)下午14:00~16:00,2026-06-09T14:00:00,2026-06-09T16:00:00,臺北市就業服務處,,exclude,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=202C4C376B784790,2026-06-05 11:14:00
9651984,內湖就服站將於115年06月09日(二)下午14:00-16:00時舉辦 【東湖高爾夫練習場】現場徵才活動,115年06月09日(二)下午14:00~16:00,2026-06-09T14:00:00,2026-06-09T16:00:00,臺北市就業服務處,,exclude,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=6C2EA56FE5344B77,2026-06-05 11:14:00
9651983,內湖就服站將於115年06月09日(二)下午14:00-16:00時舉辦 【社團法人中華民國士林靈糧堂社會福利協會附設臺北市私立安馨居家式服務類長期照顧服務機構】現場徵才活動,115年06月09日(二)下午14:00~16:00,2026-06-09T14:00:00,2026-06-09T16:00:00,臺北市就業服務處,,exclude,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=A2D6878EC08C6AA8,2026-06-05 11:14:00
9651982,內湖就服站將於115年06月09日(二)下午14:00-16:00時舉辦 【人杰老四川餐飲管理顧問股份有限公司】現場徵才活動,115年06月09日(二)下午14:00~16:00,2026-06-09T14:00:00,2026-06-09T16:00:00,臺北市就業服務處,,exclude,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=12E58386D3604B40,2026-06-05 11:14:00
9583557,景美就服站於115年6月12日(五)下午2-4時辦理【松泰長照、愛關懷】現場徵才活動,115/6/12(五)下午2-4時,2026-06-12T14:00:00,2026-06-12T16:00:00,臺北市就業服務處,,exclude,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=694E3C8523318962,2026-06-05 11:14:00
9579903,星姊姊說故事【雙子座的星座冒險故事】,6月13日（六）14:00-15:00,2026-06-13T14:00:00,2026-06-13T15:00:00,臺北市立天文科學教育館,,exclude,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=B396E261C5A0AB0A,2026-06-05 11:14:00
